source,target,dist_m
0,5,51882.0
0,2657,13841.0
1,846,55768.0
1,9568,12484.0
2,9,555975.0
2,7090,498518.0
3,454,277988.0
3,4878,551987.0
4,2784,15346.0
4,6939,103414.0
4,7395,60909.0
4,9215,33451.0
4,9655,102723.0
5,6939,113943.0
6,922,25480.0
6,6484,11277.0
7,492,10563.0
7,9647,14988.0
8,9191,106178.0
8,9310,146689.0
9,7627,523769.0
10,489,137153.0
10,1066,118175.0
10,1337,276638.0
10,1609,83920.0
10,4371,80376.0
10,4585,107325.0
10,4606,99241.0
10,4765,58662.0
10,4907,95855.0
10,6584,92276.0
10,6795,139793.0
10,7166,98528.0
10,7338,118278.0
10,8157,62497.0
10,8340,104148.0
10,8834,214004.0
10,9353,138003.0
10,10179,196847.0
11,6998,92405.0
11,8770,93227.0
12,204,64904.0
12,920,57441.0
12,2199,14532.0
12,2561,21468.0
13,3725,49451.0
13,6233,181070.0
13,9564,137209.0
14,9577,285585.0
15,1215,56208.0
15,3015,95547.0
15,3907,34896.0
15,7780,30064.0
16,312,178430.0
16,446,93234.0
16,769,162384.0
17,1413,93655.0
17,2793,14448.0
17,2794,28828.0
17,2802,22549.0
17,8765,87056.0
17,8838,128462.0
18,1770,62536.0
18,3197,57528.0
18,7917,56263.0
18,10159,101751.0
19,506,30690.0
19,3316,32105.0
19,8437,262587.0
20,6887,48109.0
20,9523,88750.0
21,697,12984.0
21,849,31287.0
21,1522,39864.0
21,1794,38079.0
21,2891,61236.0
21,3525,81683.0
21,4091,56367.0
21,8618,39534.0
21,9296,70746.0
22,2104,15890.0
22,3895,116468.0
23,2556,16877.0
23,2557,31883.0
23,6735,87447.0
23,7856,24868.0
24,5109,131245.0
25,4094,54752.0
25,6951,21609.0
26,440,153567.0
26,592,59179.0
26,797,32296.0
26,1305,58212.0
27,4242,88502.0
27,6575,57773.0
28,1081,55204.0
28,1849,27472.0
28,8763,27739.0
29,3017,40263.0
29,5759,53705.0
29,9414,56579.0
30,722,26781.0
30,1139,54572.0
30,1683,52737.0
30,1831,54143.0
30,4001,55978.0
30,6979,79165.0
30,7107,32921.0
30,7635,26264.0
30,8247,60050.0
31,772,15708.0
31,9266,86244.0
32,1264,49317.0
32,9596,120623.0
33,7105,112782.0
33,7232,194386.0
33,8606,63130.0
34,4712,5446.0
34,8131,57925.0
34,8704,47158.0
34,10174,43817.0
35,1669,40157.0
35,7387,35850.0
35,9076,154631.0
35,9189,24586.0
36,3803,33316.0
36,6951,15290.0
37,490,55960.0
37,720,24873.0
37,1377,5230.0
37,1736,5857.0
37,5005,28609.0
37,8925,52577.0
38,3984,195094.0
38,9081,106708.0
39,326,75531.0
39,789,13521.0
39,1253,75400.0
39,1591,51239.0
39,3710,74457.0
40,4726,28066.0
40,7839,62606.0
40,9113,44777.0
40,9898,23382.0
40,10386,34800.0
41,3055,25110.0
41,8255,60423.0
41,8771,69156.0
41,10057,17713.0
42,4682,28359.0
42,7543,16852.0
42,8543,10201.0
42,9908,21644.0
43,7873,19676.0
43,8958,81489.0
44,8852,58403.0
44,9084,42172.0
44,9306,30268.0
45,1656,76811.0
45,3621,92697.0
45,7927,50527.0
45,10226,35685.0
46,1250,98122.0
46,6579,113731.0
46,8186,37824.0
46,9955,30478.0
47,3109,26793.0
47,4964,89875.0
48,2169,14307.0
48,2181,3647.0
48,2206,38630.0
48,2295,20577.0
49,4383,31123.0
49,4847,13138.0
49,6550,52761.0
49,8112,32913.0
50,61,20645.0
50,320,34264.0
50,5449,20870.0
50,6966,11087.0
51,7900,146457.0
52,6479,14733.0
52,8365,41883.0
52,9353,34321.0
52,10179,113457.0
52,10185,27576.0
53,700,14871.0
53,9472,36964.0
54,2183,12863.0
55,642,15288.0
55,1253,22387.0
55,8268,47507.0
56,614,50312.0
56,6511,15413.0
56,6514,31767.0
56,6696,79367.0
56,7277,20823.0
56,8839,59915.0
56,9817,29702.0
57,3699,8665.0
57,4052,52840.0
57,8085,45664.0
57,9459,174082.0
58,952,45388.0
58,1957,5104.0
58,4434,19858.0
58,5897,54423.0
59,6864,109329.0
59,7804,27419.0
59,8862,13954.0
59,9127,8475.0
60,3397,60018.0
60,6565,29377.0
61,6856,19117.0
61,6966,12628.0
61,6980,31129.0
62,5928,9208.0
62,10245,20136.0
63,109,9281.0
63,604,40021.0
64,1362,50437.0
64,3769,107581.0
64,8985,89351.0
64,9281,62619.0
65,1738,91476.0
65,5009,7519.0
65,8852,63244.0
66,555,31983.0
66,5619,30751.0
66,5620,31732.0
66,5636,19160.0
66,5652,24423.0
66,5675,7945.0
67,442,9243.0
67,7242,58677.0
67,8281,62894.0
68,2011,11919.0
68,7383,74473.0
69,365,43381.0
69,776,27604.0
69,1819,58625.0
69,4294,113396.0
69,7346,45631.0
70,5474,3682.0
70,7278,38847.0
71,195,90586.0
71,352,61632.0
71,4124,138610.0
71,4564,59947.0
72,654,24330.0
72,8774,31796.0
72,9361,63224.0
73,1801,51442.0
73,3938,44444.0
74,1517,130596.0
74,5710,25382.0
74,5711,21738.0
74,9566,47127.0
75,2141,7845.0
75,4091,86442.0
75,10113,19865.0
76,1654,66254.0
76,1822,76504.0
76,3744,94336.0
76,9751,47545.0
76,9755,657.0
76,10018,96817.0
77,6169,129696.0
78,4668,121630.0
78,7202,79297.0
78,9635,44860.0
79,6567,96461.0
79,7993,69785.0
80,3893,103198.0
80,7466,81144.0
81,1629,152191.0
81,8915,115774.0
82,593,67626.0
82,3959,243052.0
82,8836,160773.0
83,671,275499.0
83,6125,20739.0
83,7619,36260.0
83,8865,47976.0
83,10090,36183.0
84,6749,40286.0
84,9525,48671.0
85,516,78105.0
85,3602,42033.0
85,10069,40380.0
86,6391,30782.0
86,8078,15926.0
87,4912,94183.0
87,7279,69647.0
88,4001,65388.0
88,4510,39596.0
89,2235,14365.0
89,4029,26431.0
89,7101,22988.0
90,1683,50206.0
90,4001,50978.0
90,4544,82177.0
90,7278,40590.0
90,7635,25757.0
90,8051,96202.0
90,8247,60717.0
91,4428,48000.0
91,6461,100942.0
92,2068,11966.0
92,2100,12437.0
92,3438,8166.0
92,3461,19080.0
92,4625,52972.0
92,9134,32542.0
93,1184,12898.0
93,3436,4102.0
93,9944,25460.0
94,4372,85150.0
94,6616,71507.0
94,6798,112793.0
94,9276,71027.0
94,9631,138723.0
95,1164,55392.0
95,5185,17368.0
95,5201,24504.0
95,5248,8871.0
95,8077,17920.0
95,9601,19277.0
96,5489,11019.0
97,831,53970.0
97,10053,55771.0
98,1264,45578.0
98,1323,132616.0
98,4306,109469.0
98,4756,33477.0
99,115,46702.0
99,374,74153.0
99,6777,92217.0
99,9717,22173.0
100,4455,77987.0
100,4616,31876.0
101,566,55979.0
101,7132,182110.0
102,5221,31277.0
102,7609,83710.0
102,10053,51246.0
103,4876,82536.0
103,7260,38610.0
103,9307,197885.0
104,1687,55318.0
104,7240,96506.0
104,7750,23731.0
104,7986,54556.0
104,9861,67505.0
105,735,72219.0
105,8066,38997.0
106,1350,17172.0
106,4672,66831.0
106,5398,17219.0
106,9430,29658.0
106,10053,28667.0
107,150,37037.0
107,859,98977.0
107,4753,212083.0
107,4808,105838.0
107,5117,222160.0
107,6456,128334.0
107,9697,30283.0
108,1170,18456.0
108,3517,12574.0
108,6611,17224.0
109,738,9036.0
109,2139,720.0
109,2146,23582.0
109,4091,43416.0
109,6525,14413.0
110,1802,83396.0
110,5892,37066.0
110,7314,109808.0
110,7345,14081.0
110,7423,16440.0
111,8916,28702.0
111,9005,14312.0
111,10060,24443.0
112,203,54925.0
112,530,25115.0
112,1049,15353.0
112,9020,83403.0
113,3777,176798.0
113,4494,101909.0
113,6529,24830.0
113,7769,77708.0
113,8458,48620.0
113,9585,76026.0
114,3126,18461.0
114,3129,16558.0
115,3784,90439.0
115,9185,75329.0
116,1387,65860.0
116,6613,12673.0
117,244,56181.0
117,733,39415.0
117,1388,170730.0
117,3654,53021.0
117,4759,156508.0
118,4642,89367.0
118,9982,134331.0
119,727,34420.0
119,4397,44451.0
120,5434,4471.0
120,6701,25256.0
120,7765,40173.0
120,8576,39515.0
120,8868,57478.0
120,9652,15801.0
121,4729,75536.0
121,4791,69625.0
121,5831,4320.0
121,8121,25723.0
122,1512,31083.0
122,6043,40265.0
122,6101,9913.0
122,10241,115176.0
123,2028,7083.0
123,7865,66172.0
124,886,120820.0
124,1415,173197.0
124,8863,34467.0
125,7247,104807.0
125,8916,27817.0
126,1123,7896.0
126,1372,68601.0
126,2679,10896.0
127,128,43768.0
127,129,48080.0
127,672,92472.0
127,3609,184660.0
127,7457,228455.0
127,8127,117451.0
127,8432,210487.0
127,8767,38595.0
127,8848,55498.0
127,9066,252724.0
127,9584,55650.0
127,10024,83040.0
127,10281,136853.0
128,130,11714.0
128,2640,31133.0
129,3870,7397.0
130,131,18497.0
131,672,18493.0
132,3108,21166.0
132,3665,9126.0
132,6483,37900.0
132,8824,53379.0
132,9144,93043.0
132,10322,10283.0
133,1320,99767.0
133,10381,53576.0
134,3751,93118.0
134,7814,141366.0
134,7867,260504.0
134,8057,112161.0
134,8753,68444.0
134,9637,171479.0
134,9797,89697.0
134,10353,270004.0
135,236,44725.0
135,2925,30988.0
135,3576,103211.0
135,3788,73077.0
135,5855,20648.0
135,5868,29627.0
135,8318,74581.0
135,10212,50536.0
136,6593,26847.0
137,712,103727.0
137,4273,228870.0
137,4333,182511.0
137,7078,26162.0
137,7888,66321.0
137,8233,68979.0
138,347,41662.0
138,6776,146166.0
139,1415,59138.0
139,9510,44164.0
140,1805,52175.0
140,3712,27535.0
141,539,38293.0
141,3645,45587.0
141,7012,60747.0
141,9582,46179.0
142,10229,55852.0
143,1930,14145.0
143,5104,22002.0
143,7963,34170.0
143,8207,24128.0
144,2009,6763.0
144,7316,30609.0
145,1341,29378.0
145,4947,9416.0
145,7074,46672.0
145,9682,37692.0
145,10209,30995.0
146,660,40699.0
146,4795,118544.0
146,10060,68785.0
146,10069,10906.0
147,904,47390.0
147,1665,11556.0
148,3578,48277.0
148,10133,13767.0
149,1368,43542.0
149,4591,91465.0
149,7073,148546.0
149,7396,14293.0
149,9479,114391.0
150,3830,58605.0
150,10389,62855.0
151,1379,290170.0
151,1401,97047.0
151,1834,74147.0
151,3351,85497.0
151,3647,77672.0
151,6857,33596.0
151,8107,74454.0
151,10239,16918.0
152,778,39035.0
152,1228,12731.0
152,4356,66964.0
152,4551,13922.0
152,9560,11446.0
153,286,60749.0
153,1870,33482.0
153,3962,27508.0
153,4729,33996.0
153,8640,30392.0
153,8844,74611.0
154,4789,342919.0
154,9064,124227.0
154,9348,171203.0
155,669,163003.0
155,4279,99716.0
156,341,16465.0
156,4575,115901.0
157,9082,125632.0
157,9587,26489.0
158,3500,119800.0
158,4046,127223.0
159,865,68788.0
159,6603,27677.0
160,1750,74192.0
160,2337,25585.0
160,3433,11368.0
160,3763,29509.0
160,6779,167830.0
160,7898,96543.0
161,915,70647.0
161,1273,41139.0
161,6723,94839.0
161,7179,28119.0
162,1334,74180.0
162,9501,60420.0
163,1458,23654.0
163,6659,31645.0
163,8695,25710.0
163,10177,48990.0
164,697,102571.0
164,795,17165.0
164,6042,29182.0
164,8618,76776.0
165,237,15049.0
165,9906,13034.0
166,7165,120327.0
166,9005,65770.0
167,6234,55522.0
167,8833,71106.0
167,10361,177676.0
168,438,99338.0
168,7525,29541.0
168,8769,160299.0
169,706,52107.0
169,5044,45137.0
170,4077,343601.0
170,4664,143938.0
171,4274,15335.0
171,5689,28157.0
172,524,99120.0
172,557,36472.0
172,3846,124187.0
172,3942,48378.0
172,4742,45521.0
172,6583,163229.0
172,7051,83338.0
172,7897,136895.0
172,8000,187412.0
172,8083,137830.0
172,8723,60551.0
172,8740,67540.0
172,9287,85126.0
172,9558,41966.0
173,1702,131547.0
173,10195,73949.0
174,620,45371.0
174,4434,103386.0
174,6114,59019.0
174,8477,49006.0
174,8624,26241.0
175,8501,87074.0
175,9872,64117.0
176,411,133803.0
176,1539,66248.0
176,8859,86742.0
176,10086,24804.0
177,4442,35677.0
177,7341,59666.0
178,5475,21316.0
179,325,14810.0
179,6774,10892.0
179,6981,67354.0
179,10175,20188.0
180,716,29657.0
180,1489,109609.0
180,2907,79347.0
180,3015,88080.0
180,8383,88663.0
180,9369,163124.0
181,824,181405.0
181,978,76095.0
181,3676,55031.0
181,7871,21737.0
182,1402,48714.0
182,4161,80819.0
182,6125,127824.0
182,6544,63646.0
182,7123,85692.0
182,7619,70824.0
182,8111,51511.0
182,8603,194140.0
182,9091,130274.0
182,9337,53279.0
182,10090,89104.0
182,10213,41163.0
183,4455,95471.0
183,6676,52808.0
183,6683,153427.0
183,9058,57776.0
184,7128,14516.0
184,8529,9403.0
184,9568,59672.0
185,4642,99216.0
185,7121,214648.0
186,1294,163839.0
186,5769,40798.0
186,5867,13687.0
186,5870,22312.0
186,8572,39547.0
187,354,18447.0
187,900,121745.0
187,3180,70709.0
187,5722,40658.0
187,9292,58279.0
188,1698,28716.0
188,1748,32225.0
188,6445,19862.0
189,774,18251.0
190,4631,74635.0
190,10092,21442.0
191,6797,29886.0
191,7538,24560.0
192,1584,146549.0
192,6580,154906.0
193,2775,24879.0
194,4000,46115.0
194,8974,28202.0
