source,target
0,5
0,1688
0,2657
1,846
1,9568
2,9
2,7090
3,454
3,4878
4,2784
4,6939
4,7395
4,9215
4,9655
5,6939
6,922
6,6484
7,492
7,9647
8,9191
8,9310
9,7627
10,489
10,1066
10,1337
10,1609
10,4371
10,4585
10,4606
10,4765
10,4907
10,6584
10,6795
10,7166
10,7338
10,8157
10,8340
10,8834
10,9353
10,10179
11,6998
11,8770
12,204
12,920
12,2199
12,2561
12,3937
12,8780
12,9083
13,3725
13,6233
13,9564
14,9577
15,1215
15,3015
15,3907
15,7780
16,312
16,446
16,769
17,1413
17,2793
17,2794
17,2802
17,4033
17,8551
17,8765
17,8838
17,9417
18,1770
18,3197
18,7917
18,10159
19,506
19,3316
19,8437
20,6887
20,9523
21,697
21,849
21,1522
21,1794
21,2891
21,3525
21,4091
21,8618
21,9296
22,2104
22,3704
22,3895
23,2556
23,2557
23,6735
23,7856
24,5109
25,4094
25,6951
26,440
26,592
26,797
26,1305
27,4242
27,6575
28,1081
28,1849
28,8763
29,3017
29,5759
29,9414
30,722
30,1139
30,1683
30,1831
30,4001
30,6979
30,7107
30,7635
30,8247
31,772
31,9266
32,1264
32,9596
33,7105
33,7232
33,8606
34,4712
34,8131
34,8704
34,10174
35,1669
35,7387
35,9076
35,9189
36,3803
36,6951
37,490
37,720
37,1377
37,1736
37,5005
37,8925
38,3984
38,9081
39,326
39,789
39,1253
39,1591
39,3710
40,4726
40,6821
40,7839
40,9113
40,9898
40,10386
41,3055
41,8255
41,8771
41,10057
42,4682
42,7543
42,8543
42,9908
43,7873
43,8958
44,8852
44,9084
44,9306
45,1656
45,3621
45,7927
45,10226
46,1250
46,6579
46,8186
46,9955
47,114
47,3109
47,4964
48,2169
48,2181
48,2206
48,2295
48,7922
48,9800
49,4383
49,4847
49,6550
49,8112
50,61
50,320
50,5449
50,6966
51,7900
52,6479
52,8365
52,9353
52,10179
52,10185
53,700
53,9472
54,417
54,2183
54,9061
55,642
55,1253
55,8268
56,614
56,6511
56,6514
56,6696
56,7277
56,8839
56,9817
57,3699
57,4052
57,8085
57,9459
58,952
58,1957
58,2847
58,4434
58,5897
58,7301
59,6864
59,7804
59,8862
59,9127
60,3397
60,6565
60,9151
61,6856
61,6966
61,6980
62,5928
62,8141
62,10245
63,109
63,604
64,1362
64,3769
64,8985
64,9281
65,1738
65,5009
65,8852
66,555
66,1679
66,5619
66,5620
66,5636
66,5652
66,5675
67,442
67,7242
67,8281
68,2011
68,6059
68,7383
69,365
69,776
69,1819
69,4294
69,7346
70,1683
70,5474
70,7278
71,195
71,352
71,4124
71,4564
72,654
72,8774
72,9361
73,1801
73,3938
74,171
74,1245
74,1517
74,1931
74,5710
74,5711
74,9566
75,2141
75,4091
75,7759
75,10113
75,10145
76,1654
76,1822
76,3744
76,9751
76,9755
76,10018
77,6169
78,4668
78,7202
78,9635
79,6567
79,7993
80,3893
80,7466
81,1629
81,8915
82,593
82,3959
82,8836
83,671
83,6125
83,7619
83,8865
83,10090
84,6749
84,9525
85,516
85,3602
85,10069
86,6391
86,8078
87,4912
87,7279
88,4001
88,4510
89,2235
89,4029
89,7101
90,1683
90,4001
90,4544
90,7278
90,7635
90,8051
90,8247
91,4428
91,6461
92,2068
92,2100
92,3438
92,3461
92,3787
92,4625
92,8366
92,9134
93,1184
93,1806
93,3436
93,9944
94,4372
94,6616
94,6798
94,9276
94,9631
95,1164
95,1173
95,3610
95,5185
95,5201
95,5248
95,8077
95,9601
96,178
96,5489
97,831
97,10053
98,1264
98,1323
98,4306
98,4756
99,115
99,374
99,6777
99,9717
100,4455
100,4616
101,566
101,7132
102,831
102,5221
102,6589
102,7609
102,10053
103,4876
103,7260
103,9307
104,1687
104,7240
104,7750
104,7986
104,9861
105,735
105,8066
106,1350
106,3414
106,4672
106,5100
106,5398
106,9430
106,10053
107,150
107,859
107,1508
107,4753
107,4808
107,5117
107,6456
107,9697
108,1170
108,3517
108,6611
109,738
109,1800
109,2139
109,2146
109,4091
109,6525
109,9408
110,1802
110,5892
110,7314
110,7345
110,7423
111,8916
111,9005
111,10060
112,203
112,530
112,1049
112,9020
113,3777
113,4494
113,6529
113,7769
113,8458
113,9585
114,3126
114,3129
114,7007
115,3784
115,9185
116,1387
116,6613
117,244
117,733
117,1388
117,3654
117,4759
118,4642
118,9982
119,727
119,4397
120,5434
120,6701
120,7765
120,8576
120,8868
120,9652
121,4729
121,4791
121,5831
121,8121
122,1512
122,3853
122,6043
122,6101
122,10241
123,2028
123,7865
123,9680
124,886
124,1415
124,8863
125,7247
125,8916
126,1123
126,1372
126,2679
126,8110
126,9300
127,128
127,129
127,672
127,3609
127,7457
127,8127
127,8432
127,8767
127,8848
127,9066
127,9584
127,10024
127,10281
128,130
128,2640
129,3870
130,131
131,672
132,3108
132,3665
132,6483
132,8377
132,8824
132,9144
132,10322
133,1320
133,10381
134,3751
134,7814
134,7867
134,8057
134,8753
134,9637
134,9797
134,10353
135,236
135,1196
135,2925
135,3576
135,3788
135,5855
135,5868
135,7727
135,8318
135,10212
136,6593
137,712
137,4273
137,4333
137,7078
137,7888
137,8233
138,347
138,6776
139,1415
139,9510
140,1805
140,3712
141,539
141,3645
141,7012
141,9582
142,10229
143,1930
143,5104
143,7963
143,8207
144,2009
144,3771
144,7316
144,7866
144,7903
145,1341
145,4947
145,7074
145,9682
145,10209
146,660
146,4795
146,10060
146,10069
147,904
147,1665
148,3578
148,10133
149,1368
149,4591
149,7073
149,7396
149,9479
150,3830
150,10389
151,1379
151,1401
151,1834
151,3351
151,3647
151,6857
151,8107
151,10239
152,778
152,1228
152,4356
152,4551
152,9560
153,286
153,1870
153,3962
153,4729
153,8640
153,8844
154,4789
154,9064
154,9348
155,669
155,4279
156,341
156,4575
157,9082
157,9587
158,3500
158,4046
159,865
159,6603
160,1750
160,2337
160,3433
160,3763
160,6779
160,7898
161,915
161,1273
161,6723
161,7179
162,1334
162,9501
163,1458
163,6659
163,8695
163,10177
164,697
164,795
164,6042
164,8618
165,237
165,9906
166,7165
166,9005
167,6234
167,8833
167,10361
168,438
168,7525
168,8769
169,706
169,5044
170,4077
170,4664
171,4274
171,5689
172,524
172,557
172,3846
172,3942
172,4742
172,6583
172,7051
172,7897
172,8000
172,8083
172,8723
172,8740
172,9287
172,9558
173,1702
173,10195
174,620
174,4434
174,6114
174,8477
174,8624
175,8501
175,9872
176,411
176,1539
176,8859
176,10086
177,4442
177,7341
178,444
178,5475
179,325
179,6774
179,6981
179,10175
180,716
180,1489
180,2907
180,3015
180,8383
180,9369
181,824
181,978
181,3676
181,7871
182,1402
182,4161
182,6125
182,6544
182,7123
182,7619
182,8111
182,8603
182,9091
182,9337
182,10090
182,10213
183,4455
183,6676
183,6683
183,9058
184,7128
184,8529
184,9568
185,4642
185,7121
186,1294
186,4799
186,4821
186,5769
186,5867
186,5870
186,8572
187,354
187,900
187,3180
187,5722
187,9292
188,1698
188,1748
188,6445
189,774
190,4631
190,10092
191,6797
191,7538
192,1584
192,6580
193,1808
193,2775
194,4000
194,8974
194,9169
195,4768
196,1399
196,4492
196,5252
196,7576
196,9344
197,1691
197,4751
197,5253
198,3629
198,4074
198,4099
198,4729
198,7315
198,9457
199,3980
199,7709
200,7713
200,8043
200,9798
201,912
201,3049
201,3686
201,4280
201,5542
201,6446
201,6613
201,7650
202,2561
202,3614
203,4567
203,6455
203,7954
204,7253
205,1797
205,6239
205,6951
206,553
206,709
206,1052
206,1568
206,9033
206,9066
207,3979
207,8717
207,9336
207,9997
208,1060
208,9500
209,4725
209,8606
209,9343
209,9470
210,1806
210,2076
210,4060
210,4461
210,9150
211,4335
211,4548
211,5781
211,8986
212,2269
212,3435
212,7293
212,8624
213,2470
213,7343
213,7747
214,6653
214,6797
215,305
215,359
215,887
215,3267
215,3478
215,3736
215,3977
215,6077
215,6107
215,7072
215,7307
215,7416
215,7628
215,9172
216,7430
216,9138
216,10199
217,1971
217,2331
217,7700
218,3696
218,6424
218,7416
218,8663
219,677
